orf.name	ORF.type	score.(Agg)	score.(iPSC)	score.(MB1)	score.(Gaertner)	coverage.(Agg)	coverage.(iPSC)	coverage.(MB1)	coverage.(Gaertner)	start.(Agg)	start.(iPSC)	start.(MB1)	start.(Gaertner)	end.(Agg)	end.(iPSC)	end.(MB1)	end.(Gaertner)	comment	match.to.riboseq.call	chrom	chromStart	chromEnd	orf.name	score	strand	thickStart	thickEnd	itemRgb	blockCount	blockSizes	blockStarts
all13	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	26280140	26281123	all13	0	+	26280140	26281123	0,0,0	3	63,168,66,	0,624,917,
all26	Trunc_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	74763918	74764113	all26	0	+	74763918	74764113	0,0,0	1	195,	0,
all46	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	23779900	23787376	all46	0	+	23779900	23787376	0,0,0	4	41,105,109,102,	0,5774,6414,7374,
all71	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	86880689	86914120	all71	0	-	86880689	86914120	0,0,0	3	36,168,93,	0,22591,33338,
all93	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	1392781	1393451	all93	0	-	1392781	1393451	0,0,0	2	22,56,	0,614,
all117	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	43282784	43283291	all117	0	-	43282784	43283291	0,0,0	2	323,40,	0,467,
all144	Trunc_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	228106759	228107865	all144	0	-	228106759	228107865	0,0,0	2	159,198,	0,908,
all150	Trunc_Novel:CDSFrameOverlap_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr1	193096624	193101203	all150	0	-	193096624	193101203	0,0,0	3	135,177,63,	0,959,4516,
all155	Variant_Novel:CDSFrameOverlap_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	27771720	27779556	all155	0	+	27771720	27779556	0,0,0	3	79,19,124,	0,953,7712,
all169	Variant_Extended_None	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	46617234	46624227	all169	0	+	46617234	46624227	0,0,0	5	64,66,55,104,65,	0,1538,2392,6529,6928,
all182	Trunc_None_novel	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA		chr2	111164174	111164231	all182	0	+	111164174	111164231	0,0,0	1	57,	0,
